Question,Answer,type,page,grade,made_date
しかし本当はアメリカからきたということを知っていますか？,But do you know that it really came from U.K.?,textbook,P26,2,2022/05/07
18世紀になると、インドからイギリスに特別なカレースパイスが登場し、カレーが人気を博しました。,"
In the 18th century, special curry spices came to the U.K. from India, and curry became popular.",textbook,P26,2,2022/05/07
その後、英国の会社がカレー粉を製造して販売しました。,"
Later, a British company produced curry powder for sale.
",textbook,P26,2,2022/05/07
カレーの調理が簡単になりました,The cooking of curry became easy.,textbook,P26,2,2022/05/07
19世紀にカレーが日本にやってきました,"In the 19th century, this curry arrived in Japan.",textbook,P26,2,2022/05/07
また、彼らは大きなかけらのジャガイモと玉ねぎとにんじんを使いました。,"They also used big pieces of potatos, onions, and carrots.",textbook,P26,2,2022/05/07
それから彼らはそれをご飯に入れました,Then they put it on rice.,textbook,P26,2,2022/05/07
訪れた,visited,word,P26,2,2022/05/07
見た,watched,word,P26,2,2022/05/07
下,under,word,P26,2,2022/05/07
そば,by,word,P26,2,2022/05/07
〜の上,on,word,P26,2,2022/05/07
〜の近く,near,word,P26,2,2022/05/07
撮る,take,word,P26,2,2022/05/07
寝ている,sleeping,word,P26,2,2022/05/07
興奮した,excited,word,P26,2,2022/05/07
あそこ,there,word,P26,2,2022/05/07
人々,People,word,P26,2,2022/05/07
~するつもり,going to,word,P26,2,2022/05/07
遅れる,Be late,word,P26,2,2022/05/07
早く家に帰る,Go home early,word,P26,2,2022/05/07
雨が降る,rain,word,P26,2,2022/05/07
買う,buy,word,P26,2,2022/05/07
どこか,anywhere,word,P26,2,2022/05/07
清潔にする,clean,word,P26,2,2022/05/07
食べる,eat,word,P26,2,2022/05/07
雪が降る,snow,word,P26,2,2022/05/07
経験する,experience,word,P26,2,2022/05/07
海外への,overseas,word,P26,2,2022/05/07
絶好の,golden,word,P26,2,2022/05/07
休日,holiday,word,P26,2,2022/05/07
外国に,abroad,word,P26,2,2022/05/07
おば,aunt,word,P26,2,2022/05/07
おじ,uncle,word,P26,2,2022/05/07
夫,husband,word,P26,2,2022/05/07
妻,wife,word,P26,2,2022/05/07
国,countrie,word,P26,2,2022/05/07
写真を撮る,Take a picture,word,P26,2,2022/05/07
先生である,Be a teacher,word,P26,2,2022/05/07
出てくる,Come out,word,P26,2,2022/05/07
家にいる,Be at home,word,P26,2,2022/05/07
遠くに,far,word,P26,2,2022/05/07
〜だろう,will,word,P26,2,2022/05/07
シーフード,seafood,word,P26,2,2022/05/07
予約,reservation,word,P26,2,2022/05/07
you will の短縮形,You'll she the Merlion soon.,word,P26,2,2022/05/07
I will の短縮形,I'll,word,P26,2,2022/05/07
自分,Meg and Kaito will go there this Sunday.,word,P26,2,2022/05/07
君,you,word,P26,2,2022/05/07
彼を,him,word,P26,2,2022/05/07
彼女の,her,word,P26,2,2022/05/07
我ら,us,word,P26,2,2022/05/07
彼ら,them,word,P26,2,2022/05/07
メートル,meter,word,P26,2,2022/05/07
高い,tall,word,P26,2,2022/05/07
〜の重さがある,weigh,word,P26,2,2022/05/07
トン,ton,word,P26,2,2022/05/07
贈り物,gift,word,P26,2,2022/05/07
クッキー,cookie,word,P26,2,2022/05/07
呼ぶ,call,word,P26,2,2022/05/07
乗る,ride,word,P26,2,2022/05/07
rideの過去形,rode,word,P26,2,2022/05/07
恐ろしい,scary,word,P26,2,2022/05/07
連絡する,communicate,word,P26,2,2022/05/07
文化,culture,word,P26,2,2022/05/07
たくやはブログを書きません,Takuya does not write a blog.,note,P999,2,2022/05/07
どうしましたか？,What's wrong?,note,P999,2,2022/05/07
頭痛がします,I have a headache.,note,P999,2,2022/05/07
私はその夜花火を見ました,I saw fireworks thet night.,note,P999,2,2022/05/07
あなたは何になさいますか？,What would you like?,note,P999,2,2022/05/07
ステーキをおねがいします,I'd like a steak.,note,P999,2,2022/05/07
デザートはいかがですか？,Would you like some dessert?,note,P999,2,2022/05/07
公園にはたくさんの人々がいます,There are many people in the park.,note,P999,2,2022/05/07
このことは誰にも言いません,I won't tell anyone about this.,note,P999,2,2022/05/07
これはどのくらい日持ちしますか？,How long will this last?,note,P999,2,2022/05/07
もうすぐマーライオンが見えるよ,You'll see the Merlion soon.,note,P999,2,2022/05/07
まっすぐ行けば右側にあるよ,Go straight and you will find it on your right.,note,P999,2,2022/05/07
それでそのあとにお昼ご飯を食べよう,"And after that, let's eat lunch.",note,P999,2,2022/05/07
私はあなたに朝食を作ります,I'll make you breakfast.,note,P999,2,2022/05/07
私にあなたのノートを見せることはできますか？,Can you show me your notebook?,note,P999,2,2022/05/07
私は彼女に誕生日プレゼントをあげたいです,I want to give her a birthday present.,note,P999,2,2022/05/07
それを誰に聞いたのですか,Who told you that?,note,P999,2,2022/05/07
教科書見せてくれる？,Can you show me your textbook?,note,P999,2,2022/05/07
それ誰にもらったの？,Who gave you that?,note,P999,2,2022/05/07
聞かないでよ,Don't ask me that.,note,P999,2,2022/05/07
みんなへのお土産をかった,I bought some gifts for everyone.,note,P999,2,2022/05/07
私たちはレベッカのことをベッキーと呼んでいます,We call Rebecca Becky.,note,P999,2,2022/05/07
お姉ちゃんには何て呼ばれるの？,What does your sister call you?,note,P999,2,2022/05/07
叔母が予約してくれます,My aunt will make a reservation.,note,P999,2,2022/05/07
私はみんなにおみやげを買いました,I bought everyone some gifts.,note,P999,2,2022/05/07
次の連休の予定は何かありますか？,Will you have any plants for the next holidays?,note,P999,2,2022/05/07
その公園はここから遠いですか？,Is the park far from here?,note,P999,2,2022/05/07
マーライオンは70トンの重さがあります,The Merlion weights 70 tons.,note,P999,2,2022/05/07
公園の近くにはお土産屋さんがいくつかあります,There are some gift shops near the park.,note,P999,2,2022/05/07
この街にはいい食事屋がありますか？,Are there any good restaurants in this town?,textbook,P4,2,2022/05/07
カイトは先週福井に行きましたか？,Did Kaito go to Fukui last week?,textbook,P5,2,2022/05/07
博物館ではたくさんの人は何を見ていましたか？,"In the museum, what were many people looking at?",textbook,P5,2,2022/05/07
越前そばはどうでしたか？,How was Echizen soba?,textbook,P5,2,2022/05/07
私たちは海外旅行で何を経験できますか？,What can we experience on overseas trips?,textbook,P5,2,2022/05/07
どの国を訪れてみたいですか？,What countries do you want to visit?,textbook,P7,2,2022/05/07
私は来週シンガポールに行きます,I am going to visit Singapore next week.,textbook,P9,2,2022/05/07
あなたは来週シンガポールを訪れますか？,Are you going to visit Singapore next week?,textbook,P9,2,2022/05/07
この今週末あなたは何をしますか？,What are you going to do this weekend?,textbook,P11,2,2022/05/07
土曜日にお父さんと釣りに行きます,I'm going to go fishing with my father on Saturday.,textbook,P11,2,2022/05/07
この本はどこ？,Where's the book?,textbook,P11,2,2022/05/07
私を手伝ってください,Can you help me?,textbook,P11,2,2022/05/07
私は日本語が読めません,I can't read Japanese.,textbook,P11,2,2022/05/07
これは難しい,This is difficult.,textbook,P11,2,2022/05/07
それはいい!,That's nice!,textbook,P11,2,2022/05/07
とてもありがとう！,Thank you very much!,textbook,P11,2,2022/05/07
朝美は今どこにいますか？,Where is Asami now?,textbook,P13,2,2022/05/07
朝美はジョシュに何を買いましたか？,What did Asami buy for Josh?,textbook,P13,2,2022/05/07
朝美は昼食の後どこに行きますか？,What is Asami going to do after lunch?,textbook,P13,2,2022/05/07
